Time,Ax,Ay,Beta,Pitch,Roll,Vx,Zcg_SM,,,,,
0.098,-0.003470923,0.005375939,1.480088505,-0.002473192,0.016181248,0.987303315,0.250663469,,,,,
0.099,-0.003430563,0.005094602,1.4906922,-0.00252199,0.016453775,0.987181017,0.250658805,,,,,
0.1,-0.003403243,0.004821858,1.500723062,-0.002572791,0.01670503,0.987060144,0.250654341,,,,,
0.101,-0.003389137,0.004558211,1.51019943,-0.002625504,0.016932792,0.986940235,0.250650079,,,,,
0.102,-0.003387799,0.004304083,1.519140712,-0.002680039,0.017135016,0.986820825,0.25064602,,,,,
0.103,-0.003398215,0.004059806,1.52756717,-0.002736304,0.017309848,0.986701461,0.250642166,,,,,
0.104,-0.003418893,0.003825629,1.535499717,-0.002794202,0.017455636,0.98658173,0.250638517,,,,,
0.105,-0.00344796,0.003601711,1.542959705,-0.002853637,0.017570943,0.986461267,0.250635075,,,,,
0.106,-0.003483275,0.003388123,1.549968716,-0.002914514,0.017654552,0.986339778,0.250631842,,,,,
0.107,-0.003522551,0.003184847,1.556548372,-0.002976735,0.017705477,0.986217041,0.250628819,,,,,
0.108,-0.003563477,0.002991779,1.56272013,-0.003040203,0.017722964,0.986092916,0.250626006,,,,,
0.109,-0.003603823,0.002808727,1.568505109,-0.003104823,0.017706497,0.985967345,0.250623405,,,,,
0.11,-0.003641549,0.002635418,1.573923909,-0.0031705,0.017655796,0.985840348,0.250621017,,,,,
0.111,-0.003674883,0.002471497,1.578996449,-0.003237141,0.017570818,0.985712018,0.250618842,,,,,
0.112,-0.00370239,0.002316534,1.58374182,-0.003304656,0.017451753,0.985582509,0.250616882,,,,,
0.113,-0.003723016,0.002170024,1.588178141,-0.003372956,0.017299023,0.985452027,0.250615136,,,,,
0.114,-0.003736106,0.0020314,1.592322431,-0.003441955,0.017113268,0.985320815,0.250613606,,,,,
0.115,-0.003741411,0.001900036,1.596190504,-0.003511568,0.016895347,0.985189139,0.250612292,,,,,
0.116,-0.003739064,0.001775253,1.599796865,-0.003581713,0.016646323,0.985057273,0.250611194,,,,,
0.117,-0.003729544,0.001656329,1.60315463,-0.003652312,0.016367455,0.984925488,0.250610312,,,,,
0.118,-0.003713628,0.001542506,1.606275456,-0.003723286,0.016060183,0.984794037,0.250609647,,,,,
0.119,-0.003692316,0.001432959,1.609169481,-0.003794553,0.015726174,0.984663145,0.250609198,,,,,
0.12,-0.003666762,0.001326743,1.611845203,-0.003865986,0.01536761,0.984533003,0.250608966,,,,,
0.121,-0.003638203,0.00122283,1.614309239,-0.003937426,0.014987053,0.984403761,0.250608948,,,,,
0.122,-0.003607904,0.001120115,1.616566162,-0.004008692,0.014587414,0.984275524,0.250609145,,,,,
0.123,-0.003577107,0.001017409,1.618618344,-0.004079623,0.014172164,0.984148355,0.250609554,,,,,
0.124,-0.003546975,0.000913498,1.620465773,-0.00415008,0.013745065,0.984022269,0.250610175,,,,,
0.125,-0.003518552,0.000807217,1.622106004,-0.00421994,0.01331003,0.983897245,0.250611004,,,,,
0.126,-0.003492726,0.000697502,1.623534248,-0.004289101,0.01287096,0.983773221,0.25061204,,,,,
0.127,-0.0034702,0.000583416,1.624743566,-0.00435748,0.012431613,0.983650106,0.25061328,,,,,
0.128,-0.003451476,0.000464163,1.62572512,-0.004425008,0.011995501,0.983527782,0.250614721,,,,,
0.129,-0.003436856,0.000339092,1.626468457,-0.004491627,0.011565827,0.983406116,0.250616362,,,,,
0.13,-0.00342644,0.000207689,1.626961785,-0.004557291,0.01114544,0.983284964,0.250618201,,,,,
0.131,-0.003420142,6.96E-05,1.627192245,-0.004621956,0.010736833,0.983164175,0.250620233,,,,,
0.132,-0.00341771,-7.56E-05,1.627146148,-0.004685582,0.010342153,0.983043605,0.250622459,,,,,
0.133,-0.003418743,-0.000227902,1.626809188,-0.004748112,0.009963109,0.982923118,0.250624874,,,,,
0.134,-0.003422726,-0.000387439,1.626166692,-0.004809466,0.009600997,0.982802591,0.250627478,,,,,
0.135,-0.003429064,-0.000554176,1.625203838,-0.004869547,0.009256807,0.98268192,0.250630267,,,,,
0.136,-0.003437117,-0.000728053,1.623905802,-0.004928237,0.008931307,0.982561022,0.25063324,,,,,
0.137,-0.003446239,-0.000908994,1.62225783,-0.004985407,0.00862513,0.982439836,0.250636393,,,,,
0.138,-0.003455807,-0.001096916,1.620245274,-0.005040916,0.008338846,0.982318324,0.250639725,,,,,
0.139,-0.00346525,-0.001291735,1.6178536,-0.005094616,0.008073014,0.982196472,0.250643232,,,,,
0.14,-0.003474073,-0.001493325,1.615068408,-0.005146369,0.007828112,0.982074283,0.250646912,,,,,
0.141,-0.00348187,-0.001701499,1.61187551,-0.005196058,0.007604496,0.981951779,0.250650762,,,,,
0.142,-0.003488337,-0.001916022,1.608261067,-0.005243581,0.007402466,0.981828996,0.250654777,,,,,
0.143,-0.003493269,-0.002136617,1.604211693,-0.005288855,0.007222272,0.981705982,0.250658956,,,,,
0.144,-0.003496554,-0.002362968,1.599714547,-0.005331813,0.007064125,0.981582791,0.250663293,,,,,
0.145,-0.00349817,-0.002594712,1.594757423,-0.005372403,0.006928188,0.98145948,0.250667786,,,,,
0.146,-0.003498168,-0.002831437,1.589328847,-0.005410582,0.006814566,0.98133611,0.25067243,,,,,
0.147,-0.003496662,-0.003072676,1.583418187,-0.005446318,0.006723278,0.981212736,0.250677221,,,,,
0.148,-0.003493811,-0.003317901,1.577015768,-0.005479583,0.00665424,0.981089412,0.250682155,,,,,
0.149,-0.003489809,-0.003566524,1.570112997,-0.005510354,0.006607239,0.980966186,0.250687227,,,,,
0.15,-0.003484866,-0.003817889,1.562702503,-0.005538609,0.00658191,0.980843099,0.250692433,,,,,
0.151,-0.003479198,-0.004071285,1.554778258,-0.005564326,0.00657772,0.980720183,0.250697769,,,,,
0.152,-0.003473018,-0.004325939,1.546335713,-0.005587481,0.006593963,0.980597464,0.250703229,,,,,
0.153,-0.003466525,-0.004581033,1.537371909,-0.005608046,0.006629747,0.980474961,0.250708809,,,,,
0.154,-0.003459901,-0.004835704,1.527885583,-0.005625991,0.006684004,0.980352684,0.250714505,,,,,
0.155,-0.003453306,-0.005089061,1.517877251,-0.005641285,0.006755497,0.980230639,0.250720311,,,,,
0.156,-0.003446877,-0.005340191,1.507349273,-0.005653892,0.006842833,0.980108824,0.250726223,,,,,
0.157,-0.003440729,-0.00558817,1.496305896,-0.005663776,0.006944482,0.979987233,0.250732236,,,,,
0.158,-0.003434957,-0.005832074,1.484753275,-0.005670901,0.007058797,0.979865857,0.250738344,,,,,
0.159,-0.003429637,-0.006070992,1.472699473,-0.005675233,0.007184039,0.979744683,0.250744544,,,,,
0.16,-0.003424832,-0.006304028,1.46015444,-0.005676739,0.007318397,0.979623694,0.25075083,,,,,
0.161,-0.003420593,-0.006530316,1.447129978,-0.005675393,0.007460015,0.979502873,0.250757198,,,,,
0.162,-0.003416962,-0.006749023,1.433639678,-0.005671172,0.007607008,0.9793822,0.250763641,,,,,
0.163,-0.003413976,-0.006959358,1.419698856,-0.005664061,0.007757489,0.979261653,0.250770156,,,,,
0.164,-0.003411665,-0.007160573,1.40532447,-0.005654054,0.007909586,0.979141209,0.250776737,,,,,
0.165,-0.003410057,-0.007351974,1.390535024,-0.005641152,0.008061455,0.979020846,0.250783379,,,,,
0.166,-0.003409176,-0.007532919,1.375350464,-0.005625366,0.008211301,0.978900538,0.250790077,,,,,
0.167,-0.003409039,-0.007702821,1.359792072,-0.005606715,0.008357389,0.97878026,0.250796826,,,,,
0.168,-0.003409659,-0.007861156,1.343882345,-0.005585227,0.008498056,0.978659985,0.25080362,,,,,
0.169,-0.003411039,-0.008007459,1.327644876,-0.005560942,0.008631722,0.978539687,0.250810455,,,,,
0.17,-0.003413173,-0.008141331,1.311104222,-0.005533905,0.008756902,0.978419339,0.250817326,,,,,
0.171,-0.003416043,-0.008262435,1.294285777,-0.005504171,0.008872211,0.978298915,0.250824226,,,,,
0.172,-0.003419617,-0.008370502,1.277215638,-0.005471799,0.008976375,0.978178389,0.250831151,,,,,
0.173,-0.00342385,-0.008465328,1.259920468,-0.005436859,0.009068235,0.978057735,0.250838096,,,,,
0.174,-0.003428683,-0.008546777,1.242427357,-0.005399421,0.009146757,0.977936932,0.250845056,,,,,
0.175,-0.003434042,-0.00861478,1.224763687,-0.005359565,0.009211037,0.977815957,0.250852024,,,,,
0.176,-0.003439842,-0.008669334,1.206956992,-0.005317371,0.009260301,0.977694792,0.250858997,,,,,
0.177,-0.003445988,-0.008710502,1.189034818,-0.005272923,0.009293918,0.977573422,0.250865968,,,,,
0.178,-0.003452378,-0.008738412,1.171024588,-0.005226309,0.009311393,0.977451835,0.250872933,,,,,
0.179,-0.003458906,-0.008753254,1.152953473,-0.005177616,0.009312377,0.977330021,0.250879887,,,,,
0.18,-0.003465466,-0.008755279,1.134848256,-0.005126936,0.009296664,0.977207977,0.250886824,,,,,
0.181,-0.003471958,-0.008744797,1.116735209,-0.005074359,0.009264194,0.977085701,0.250893739,,,,,
0.182,-0.003478289,-0.008722174,1.098639974,-0.005019978,0.009215049,0.976963195,0.250900627,,,,,
