Name,Workbench,Computer,Second AoA,Second Gap Size (mm),Second Gap Angle,Third Aoa,Third Gap size (mm),Third Gap Angle ,Lift (N),Drag (N),L/D,Notes,Ran Or no?
Set one ,,,18.08575326,33.25046704,138.9454689,52.55499532,31.33049546,95.80602464,95.5746,30.2397,3.160567069,,1
Set one ,,,16.87314035,37.25890203,123.0374973,54.51094896,26.19689952,133.6305139,104.9912,35.2054,2.982247042,,1
Set one ,,,23.20849883,53.94628315,139.6998529,46.40481884,26.00119251,135.1238416,108.2675,35.9702,3.009922102,,1
Set one ,,,21.9643194,30.30367813,133.8857898,47.46889702,37.78186614,135.8464585,104.9344,34.5256,3.039321547,,1
Set two ,,,-0.667659903,68.20882678,91.11770802,3.067491727,166.3587928,127.7818597,83.8059,23.2397,3.606152403,,1
DIVERGED,,,-0.522411811,115.4214711,91.8881164,2.488833159,160.1492572,139.5568348,,,0,,0
Set two ,,,-0.750796495,63.0586008,110.499581,3.450727869,143.3571598,139.2854258,83.4721,24.2384,3.443795795,,1
Set two ,,,-1.744657974,65.59995217,113.4907979,2.79111359,119.5970464,138.7152468,82.3554,24.1653,3.408002384,,1
DIVERGED,,,-1.349564775,64.92102465,103.8551746,2.440265094,156.9787065,137.0452241,,,0,,0
DIVERGED,,,-1.623159779,92.3618958,110.105236,2.14785228,117.2785848,131.8997909,,,0,,0
Set two ,,,-0.126738212,100.3045643,123.846252,3.967146472,100.5869229,134.9269175,81.3762,23.3307,3.487945068,,1
Set two ,,,1.556163919,97.4281565,120.542443,4.908219462,137.8556018,119.5007115,45.6581,10.5607,4.323397123,,1
Set two ,,,-0.477785631,70.02623079,127.3717309,2.869471615,147.195197,123.6777826,45.9696,10.7489,4.276679474,,1
Set two ,,,0.289099869,60.83724361,127.6684922,3.363632701,149.6286007,125.8552985,45.4189,10.7289,4.233323081,,1
Set two ,,,-1.286883411,82.68557579,100.2363873,3.103115545,167.92682,124.805695,42.9259,10.2886,4.17218086,,1
Set two ,,,0.217459872,112.5866049,121.96694,3.279529992,135.2377171,129.2059245,45.6765,10.644,4.291290868,,1
Set two ,,,-1.403258947,106.3523083,108.3433991,3.02128462,136.7854153,134.5182587,42.3135,9.9425,4.255820971,,1
Set two ,,,0.230875999,63.57960287,123.9670971,4.31953842,151.3740266,121.0459508,45.4917,10.7027,4.250488195,,1
Set two ,,,0.005631,73.04642759,112.5369509,4.388130135,131.933057,137.8675846,41.5719,9.6936,4.288592473,,1
Set two ,,,0.486449162,70.97476068,128.0863209,4.754720203,168.6884703,127.0297922,46.5017,11.0892,4.193422429,,1
Set two ,,,-1.189885406,95.74784847,129.5765831,1.858019142,144.5581675,117.3908783,48.2295,11.3947,4.232625694,,1
Set two ,,,-1.630130253,117.1572937,116.2915134,4.657398055,166.8908888,115.3712454,46.2097,10.9389,4.224346141,,1
Set two ,,,1.059771097,102.2333586,129.4739832,4.788629224,114.8203442,137.1669269,45.6004,10.2934,4.430061981,,1
DIVERGED,,,-1.867836428,122.7289948,126.6914007,2.966746211,162.6628641,109.29453,,,0,,0
Set three,,,20.38487418,8.267583529,89.47541994,52.02512601,49.4823631,128.8651944,99.4911,32.2959,3.080610852,,1
Set three,,,20.05827941,57.82823091,122.0376774,48.33592488,16.43704833,109.3247605,104.6715,34.1708,3.063185527,,1
Set three,,,20.27398129,26.97765598,118.8630986,53.40355309,40.71928583,129.4797566,104.7352,35.079,2.985695145,,1
Set three,,,22.84924858,15.59398065,119.0289207,58.95370503,24.44399312,90.32583934,106.2351,36.7956,2.887168575,,1
